temp,block,bc,bc.upper.CI,bc.lower.CI,EIP50
21,1,0.4,0.18,0.06,14
21,2,0.64,0.34,0.14,16.1
24,1,0.51,0.04,0.03,11.3
24,2,0.7,0.08,0.03,11.7
27,1,0.59,0.03,0.02,10.9
27,2,0.62,0.04,0.03,10.4
30,1,0.43,0.03,0.04,8.3
30,2,0.45,0.08,0.14,8.3
32,1,0.4,0.07,0.06,7.7
32,2,0.42,0.09,0.1,7.7
34,1,0.34,0.04,0.04,7
34,2,0.4,0.04,0.03,7
